Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,75.195171875,0,1,104926,35.0,-47212.0,32.074972340557714,[ 8778 28752 67217 59846 13416  8939  3832   632   301   287]
1,75.20132291666667,0,1,104954,35.0,-47208.5,32.07626297071649,[ 8772 28751 67210 59854 13418  8940  3835   632   300   288]
2,75.19880208333333,0,1,104938,35.0,-47211.0,32.07562919333507,[ 8775 28755 67203 59860 13414  8942  3831   632   300   288]
3,75.19500520833333,0,1,104930,35.0,-47210.5,32.0749860199043,[ 8775 28757 67210 59861 13405  8941  3831   633   297   290]
4,75.19421354166667,0,1,104928,35.0,-47215.5,32.07606770852531,[ 8776 28756 67208 59863 13405  8941  3831   633   297   290]
5,75.20969270833334,0,1,104973,36.5,-47192.0,32.067303129663685,[ 8761 28704 67199 59931 13396  8968  3818   637   295   291]
6,75.21120833333333,0,1,104948,35.5,-47132.0,32.06851398110921,[ 8780 28668 67216 59938 13391  8968  3816   637   296   290]
7,75.20980729166666,0,1,104970,38.0,-47183.0,32.06787636314619,[ 8780 28671 67215 59926 13395  8974  3816   637   295   291]
8,75.19919270833333,0,1,104913,35.0,-47180.0,32.073710749198945,[ 8777 28727 67224 59855 13411  8971  3816   633   296   290]
9,75.19693229166667,0,1,105015,-16.5,-47128.0,32.08038055620338,[ 8809 28716 67143 59957 13413  8931  3803   638   297   293]
10,75.19671354166667,0,1,105020,-12.0,-47128.0,32.08109754056936,[ 8808 28722 67133 59963 13414  8926  3806   638   297   293]
11,75.19708333333334,0,1,105020,-12.0,-47128.0,32.081182533426905,[ 8808 28722 67133 59963 13414  8926  3806   638   297   293]
12,75.19026041666666,0,1,104946,-13.5,-47175.0,32.0854893042091,[ 8806 28752 67182 59879 13413  8931  3808   639   297   293]
13,75.093921875,0,1,104578,-11.0,-47195.5,32.128169372422434,[ 8832 28980 67153 59693 13414  8901  3803   630   301   293]
14,75.06045833333333,0,1,104480,-11.0,-47375.5,32.13785072086491,[ 8880 28995 67183 59620 13407  8888  3803   630   301   293]
15,74.97697395833333,0,1,104367,-7.0,-47451.0,32.1635795584033,[ 8922 29197 67272 59331 13366  8892  3795   631   299   295]
16,74.929875,0,1,104084,-10.0,-47489.5,32.18479679886724,[ 8937 29343 67276 59175 13346  8902  3791   634   301   295]
17,74.8598125,0,1,103748,-23.0,-47464.5,32.20940263802136,[ 9016 29469 67221 59063 13324  8879  3795   635   300   298]
18,74.82528645833334,0,1,103650,-23.0,-47487.0,32.21654387324456,[ 9024 29531 67200 59010 13332  8879  3792   634   300   298]
19,74.82205208333333,0,1,103646,-22.5,-47493.0,32.21800562763449,[ 9022 29538 67208 58997 13332  8879  3793   632   301   298]
20,74.82815104166667,0,1,103689,-20.5,-47529.0,32.223024800761955,[ 9022 29508 67228 59015 13315  8888  3793   632   301   298]
21,74.782515625,0,1,103546,-8.0,-47539.5,32.243039906647,[ 9069 29675 67120 58915 13315  8867  3804   637   300   298]
22,74.776703125,0,1,103531,-2.0,-47558.0,32.244809626986715,[ 9075 29693 67108 58904 13321  8860  3804   637   300   298]
23,74.77390625,0,1,103536,4.0,-47561.5,32.24639153506757,[ 9075 29705 67119 58881 13321  8860  3804   637   300   298]
24,74.77664583333333,0,1,103559,6.5,-47603.5,32.25106003425158,[ 9077 29733 67073 58908 13305  8871  3797   638   300   298]
25,74.75147916666667,0,1,103512,13.5,-47611.5,32.26504313074341,[ 9094 29803 66994 58928 13285  8861  3798   640   299   298]
26,74.74856770833334,0,1,103484,13.5,-47605.0,32.264081640337665,[ 9095 29799 67011 58911 13293  8858  3796   640   299   298]
27,74.744265625,0,1,103487,22.5,-47619.0,32.26607514306283,[ 9094 29834 66985 58903 13285  8865  3797   641   297   299]
28,74.74552604166666,0,1,103486,21.5,-47645.5,32.26807936846459,[ 9100 29823 67045 58849 13284  8864  3798   641   297   299]
29,74.74703125,0,1,103421,7.0,-47639.5,32.279374163618115,[ 9090 29774 67101 58837 13270  8893  3785   653   296   301]
30,74.36271354166666,0,1,102122,-6.0,-47918.0,32.37058828260142,[ 9280 30767 66780 58298 13050  8805  3759   659   296   306]
31,74.35514583333334,-0.02820590277777768,1,102113,-6.0,-47951.0,32.37090155170843,[ 9278 30858 66697 58296 13049  8799  3762   659   296   306]
32,74.35177083333333,-0.02823437500000002,1,102089,-4.5,-47961.0,32.371337099572344,[ 9279 30859 66719 58278 13045  8800  3759   659   296   306]
33,74.34333854166667,-0.028388888888888648,1,102075,-6.0,-47996.5,32.36697727011498,[ 9268 30877 66736 58267 13031  8805  3755   659   296   306]
34,74.341328125,-0.028429513888888872,1,102074,-6.0,-48002.0,32.36718776893379,[ 9268 30883 66730 58272 13027  8803  3756   659   296   306]
35,74.341328125,-0.02894548611111105,1,102074,-6.0,-48002.0,32.36718776893379,[ 9268 30883 66730 58272 13027  8803  3756   659   296   306]
36,74.34290104166666,-0.028943576388888913,1,102065,-5.5,-47958.0,32.368979606262286,[ 9270 30881 66728 58266 13033  8804  3757   659   296   306]
37,74.30696354166666,-0.030094791666666745,1,102062,-24.5,-47955.0,32.38649084123019,[ 9322 31049 66491 58272 13039  8823  3742   658   298   306]
38,74.31147916666667,-0.02959045138888854,1,102074,-22.5,-47984.5,32.38601938432796,[ 9324 31061 66460 58287 13041  8818  3747   658   298   306]
39,74.30694270833334,-0.02966631944444439,1,102065,-24.5,-47984.0,32.39015796578956,[ 9321 31073 66459 58278 13040  8819  3748   660   296   306]
40,74.31375,-0.029432118055555633,1,102103,-26.0,-48004.5,32.392305839568856,[ 9322 31085 66461 58269 13025  8827  3748   661   296   306]
41,74.30483854166667,-0.02974149305555566,1,102067,-34.0,-48042.0,32.390553463499934,[ 9332 31085 66517 58215 13024  8815  3750   662   295   305]
42,74.30408854166667,-0.029539062499999602,1,102067,-35.0,-48042.0,32.390329606748786,[ 9332 31095 66507 58216 13029  8809  3749   663   295   305]
43,74.29849479166667,-0.026514236111111224,1,102048,-31.5,-48028.0,32.390700662397144,[ 9329 31107 66510 58212 13014  8815  3747   666   295   305]
44,74.301390625,-0.02530225694444444,1,102050,-36.5,-48031.5,32.39518212866684,[ 9327 31125 66498 58209 13003  8828  3744   666   295   305]
45,74.27890104166667,-0.02326909722222202,1,101958,-55.5,-48029.0,32.39506168385274,[ 9327 31152 66556 58153 12972  8834  3738   668   297   303]
46,74.27660416666667,-0.021775694444444108,1,101958,-55.5,-48034.5,32.39891379560405,[ 9329 31158 66544 58167 12961  8835  3737   668   298   303]
47,74.276046875,-0.019458854166666602,1,101961,-55.5,-48034.5,32.401799416305096,[ 9337 31152 66551 58159 12956  8839  3737   668   298   303]
48,74.27994791666667,-0.018177951388888877,1,101979,-53.0,-48027.0,32.404394699340095,[ 9331 31187 66509 58163 12963  8841  3736   669   298   303]
49,74.271421875,-0.0183543402777777,1,101895,-48.5,-47973.0,32.402087155625814,[ 9330 31196 66507 58166 12961  8830  3733   671   303   303]
50,74.26994270833333,-0.01860694444444467,1,101890,-51.5,-47973.0,32.4040553451141,[ 9331 31223 66480 58162 12964  8830  3733   671   303   303]
51,74.266625,-0.017196354166666577,1,101878,-51.5,-47973.0,32.40560626433913,[ 9334 31227 66480 58154 12965  8830  3733   671   303   303]
52,74.2598125,-0.01722968750000007,1,101885,-56.5,-47974.0,32.40981055763069,[ 9337 31263 66456 58139 12958  8835  3734   672   303   303]
53,74.26182291666667,-0.01706944444444408,1,101909,-55.5,-47997.5,32.41204847368194,[ 9332 31255 66460 58145 12948  8851  3732   670   305   302]
54,74.2540625,-0.017419444444444328,1,101893,-55.5,-47997.5,32.41428784367721,[ 9341 31255 66480 58119 12945  8851  3732   670   305   302]
55,74.25238020833334,-0.016636631944444483,1,101882,-55.5,-47997.5,32.41468846354651,[ 9347 31249 66482 58120 12940  8853  3731   671   305   302]
56,74.24490104166667,-0.016788888888889155,1,101845,-55.5,-47990.0,32.41494475194208,[ 9347 31278 66471 58107 12935  8857  3727   671   305   302]
57,74.25384895833334,-0.016347222222222037,1,101907,-44.0,-48023.0,32.41793651023077,[ 9330 31329 66318 58234 12910  8846  3760   666   305   302]
58,74.23597395833333,-0.016985069444444414,1,101857,-44.0,-48027.5,32.417662827014354,[ 9346 31341 66374 58181 12882  8859  3744   666   304   303]
59,74.22121354166667,-0.017527256944444503,1,101767,-42.5,-48009.5,32.41445017571613,[ 9344 31335 66412 58168 12877  8850  3742   664   305   303]
60,73.82206770833334,-0.018021527777777636,1,100526,6.0,-48134.5,32.46544976804185,[ 9459 32246 66448 57388 12692  8751  3737   655   319   305]
61,73.80136458333334,-0.018459375000000004,1,100374,2.5,-48116.5,32.4723611997636,[ 9494 32334 66348 57379 12674  8753  3739   656   317   306]
62,73.793828125,-0.01859809027777762,1,100392,2.0,-48126.5,32.471149028016015,[ 9488 32330 66402 57347 12666  8748  3740   656   317   306]
63,73.74993229166667,-0.01978020833333337,1,100233,-4.0,-48086.5,32.4775664962178,[ 9517 32384 66471 57199 12665  8746  3739   656   317   306]
64,73.67576041666666,-0.022185590277778052,1,99909,-9.5,-48115.0,32.49126892247515,[ 9551 32538 66685 56810 12660  8740  3738   655   317   306]
65,73.628125,-0.023773437500000227,1,99777,-3.0,-48092.5,32.504307096409676,[ 9577 32664 66654 56711 12654  8715  3745   657   317   306]
66,73.56425,-0.0259550347222221,1,99561,-7.5,-48055.0,32.51380343183748,[ 9597 32767 66693 56583 12632  8719  3730   655   318   306]
67,73.51389583333334,-0.0264355902777775,1,99467,-5.0,-48085.5,32.53394980999309,[ 9674 32793 66639 56551 12623  8706  3734   656   318   306]
