Frame,Mean Temperature,Propagation,transition points,numer of above,gradient x,gradient y,std,histogram
0,93.45678125,0,1,152617,-34616.5,-9008.0,29.289508517948573,[  637 17456 62723 56833 39642 10559  1708   919   962   561]
1,93.45932291666666,0,1,152603,-34614.0,-9024.0,29.29348515383966,[  639 17471 62716 56804 39645 10575  1708   919   962   561]
2,93.45540625,0,1,152570,-34607.5,-9034.0,29.294935763668448,[  639 17480 62706 56803 39655 10567  1708   919   962   561]
3,93.45452604166667,0,1,152574,-34598.5,-9036.5,29.29719438420307,[  639 17484 62707 56800 39652 10568  1708   919   962   561]
4,93.45227604166666,0,1,152556,-34598.5,-9038.5,29.29912334309341,[  639 17496 62704 56794 39649 10568  1708   919   962   561]
5,93.45946875,0,1,152581,-34591.5,-8888.0,29.30957168971325,[  635 17518 62577 56818 39687 10621  1702   919   962   561]
6,93.45647395833333,0,1,152576,-34591.5,-8887.0,29.310309997513905,[  635 17534 62582 56792 39696 10617  1702   919   962   561]
7,93.457984375,0,1,152576,-34591.5,-8887.0,29.309384967741234,[  635 17534 62555 56821 39700 10611  1702   919   962   561]
8,93.39699479166667,0,1,152392,-34583.5,-8964.0,29.33105550453972,[  639 17689 62675 56618 39663 10566  1708   919   962   561]
9,93.20761979166667,0,1,151729,-34563.5,-8984.0,29.41167291054877,[  682 18236 62517 56469 39397 10563  1694   919   962   561]
10,93.152359375,0,1,151644,-34572.5,-8978.5,29.423654035982395,[  684 18291 62727 56258 39367 10533  1698   919   962   561]
11,93.09898958333333,0,1,151519,-34561.5,-8979.5,29.439828340685995,[  698 18394 62775 56145 39350 10503  1693   919   962   561]
12,93.053265625,0,1,151263,-34562.0,-9057.0,29.46093513844268,[  701 18473 62851 56035 39315 10480  1703   919   962   561]
13,92.93775520833333,0,1,151065,-34540.5,-8918.0,29.508016134788026,[  714 18827 62762 56009 39111 10420  1712   921   964   560]
14,92.7956875,0,1,150628,-34570.0,-8852.5,29.516707771232614,[  739 19010 63090 55801 38806 10401  1712   923   965   553]
15,92.38611458333334,0,1,149420,-34511.0,-8856.5,29.60082995928555,[  819 19771 63146 55985 38052 10070  1710   922   969   556]
16,92.37820833333333,0,1,149353,-34516.0,-8856.5,29.60585017706124,[  818 19803 63089 56047 38031 10046  1718   923   967   558]
17,92.34969791666667,0,1,149299,-34492.5,-8783.0,29.604608715543133,[  824 19931 63093 55934 38080  9987  1699   933   965   554]
18,92.349578125,0,1,149303,-34492.5,-8782.0,29.60491809383797,[  825 19932 63090 55935 38080  9987  1699   933   965   554]
19,92.34856770833333,0,1,149272,-34495.0,-8783.0,29.605553841484546,[  825 19931 63104 55918 38082  9989  1699   933   965   554]
20,92.35277604166667,0,1,149246,-34497.5,-8836.5,29.611753052733857,[  821 19915 63113 55907 38090  9991  1711   930   968   554]
21,92.328109375,0,1,149177,-34522.0,-8870.0,29.615116942698428,[  841 19967 63133 55900 38011  9998  1696   928   987   539]
22,92.33016145833334,0,1,149177,-34522.0,-8884.0,29.617576754124084,[  841 19967 63151 55880 37997 10014  1696   928   987   539]
23,92.367671875,0,1,149149,-34500.0,-8913.5,29.63896189450637,[  840 20006 63054 55705 38199 10042  1700   928   987   539]
24,92.380265625,0,1,149165,-34497.0,-8972.0,29.642724605082723,[  842 19966 63050 55717 38214 10049  1708   927   988   539]
25,92.38320833333333,0,1,149158,-34482.0,-9005.5,29.645790091061222,[  845 19992 63035 55677 38226 10081  1690   926   991   537]
26,92.38211458333333,0,1,149149,-34482.0,-9013.0,29.646963358190167,[  845 20010 63021 55665 38235 10079  1691   926   991   537]
27,92.3886875,0,1,149151,-34479.0,-9024.5,29.648863720959195,[  845 20011 63006 55655 38261 10078  1690   926   991   537]
28,92.39730729166666,0,1,149132,-34475.0,-9043.5,29.653715795118416,[  846 19996 63000 55597 38336 10073  1699   926   990   537]
29,92.41274479166667,0,1,149163,-34476.0,-9104.0,29.66249229293821,[  846 20018 62979 55493 38447 10062  1705   922   991   537]
30,92.41592708333333,0,1,149163,-34476.0,-9120.0,29.663922821524295,[  846 20018 62989 55441 38487 10065  1704   922   991   537]
31,92.42127604166667,-0.03460156249999973,1,149163,-34476.0,-9132.0,29.667442530295467,[  846 20018 62987 55373 38547 10075  1704   922   991   537]
32,92.43994270833333,-0.033848784722222074,1,149149,-34486.5,-9112.0,29.674299300152832,[  845 20011 62948 55321 38631 10092  1702   923   990   537]
